,Unnamed: 0,Neuron,Type,Type_num,Position x,Position y
0,0,ADAL,INTERNEURONS,1,0.011067769,0.00590281
1,1,ADAR,INTERNEURONS,1,0.01420642,0.002204444
2,2,ADEL,SENSORY NEURONS,0,0.016232727,0.005656859
3,3,ADER,SENSORY NEURONS,0,0.014941235,0.009307654
4,4,ADFL,SENSORY NEURONS,0,0.082393388,-0.000983802
5,5,ADFR,SENSORY NEURONS,0,0.083279012,-0.003184198
6,6,ADLL,SENSORY NEURONS,0,0.082639339,-0.013035372
7,7,ADLR,SENSORY NEURONS,0,0.083279012,-0.011512099
8,8,AFDL,SENSORY NEURONS,0,0.086328595,-0.002705455
9,9,AFDR,SENSORY NEURONS,0,0.08646321,-0.000979753
10,10,AIAL,INTERNEURONS,1,0.065176859,0.009346116
11,11,AIAR,INTERNEURONS,1,0.059030123,0.011512099
12,12,AIBL,INTERNEURONS,1,0.075440988,0.006123457
13,13,AIBR,INTERNEURONS,1,0.075440988,0.006123457
14,14,AIML,INTERNEURONS,1,0.033203306,0.01795438
15,15,AIMR,INTERNEURONS,1,0.037475556,0.015186173
16,16,AINL,INTERNEURONS,1,0.061979504,-0.00614876
17,17,AINR,INTERNEURONS,1,0.061969383,-0.003429136
18,18,AIYL,INTERNEURONS,1,0.039435062,0.015186173
19,19,AIYR,INTERNEURONS,1,0.039435062,0.015186173
20,20,AIZL,INTERNEURONS,1,0.048698182,0.002705455
21,21,AIZR,INTERNEURONS,1,0.057560494,0.003184198
22,22,ALA,INTERNEURONS,1,0.094056296,-0.013226667
23,23,ALML,SENSORY NEURONS,0,-0.378486154,-0.016787692
24,24,ALMR,SENSORY NEURONS,0,-0.381538462,-0.006104615
25,25,ALNL,SENSORY NEURONS,0,-0.980045128,-0.049441026
26,26,ALNR,SENSORY NEURONS,0,-0.986245128,-0.049441026
27,27,AQR,SENSORY NEURONS,0,0.019595062,0.004163951
28,28,AS01,MOTOR NEURONS,2,-0.016410864,0.024738765
29,29,AS10,MOTOR NEURONS,2,-0.834806154,0.033575385
30,30,AS11,MOTOR NEURONS,2,-0.844058461,0.023305641
31,31,AS02,MOTOR NEURONS,2,-0.109883077,0.03968
32,32,AS03,MOTOR NEURONS,2,-0.1984,0.03968
33,33,AS04,MOTOR NEURONS,2,-0.283864615,0.03968
34,34,AS05,MOTOR NEURONS,2,-0.401378462,0.042732308
35,35,AS06,MOTOR NEURONS,2,-0.47616,0.042732308
36,36,AS07,MOTOR NEURONS,2,-0.57536,0.042732308
37,37,AS08,MOTOR NEURONS,2,-0.665403077,0.03968
38,38,AS09,MOTOR NEURONS,2,-0.758498461,0.035101538
39,39,ASEL,SENSORY NEURONS,0,0.069112066,0.000491901
40,40,ASER,SENSORY NEURONS,0,0.071766914,-0.000734815
41,41,ASGL,SENSORY NEURONS,0,0.077966281,-0.007624463
42,42,ASGR,SENSORY NEURONS,0,0.080094815,-0.010287407
43,43,ASHL,SENSORY NEURONS,0,0.075506777,0.000491901
44,44,ASHR,SENSORY NEURONS,0,0.078380247,-0.000979753
45,45,ASIL,SENSORY NEURONS,0,0.076982479,-0.012789421
46,46,ASIR,SENSORY NEURONS,0,0.077155556,-0.011757037
47,47,ASJL,SENSORY NEURONS,0,0.063455207,0.006640661
48,48,ASJR,SENSORY NEURONS,0,0.062704198,0.009062716
49,49,ASKL,SENSORY NEURONS,0,0.088542149,-0.010083967
